# PreShipmentCarbonDataDTO sample data
# Format:
# OrderId|TimeStamp|ProductCF|StorageCF|PackagingCF

1001|2026-01-01T08:12:00|118.4|29.1|11.8
1002|2026-01-01T10:35:00|96.7|21.4|9.6
1003|2026-01-01T13:50:00|142.3|34.9|14.2
1004|2026-01-02T09:15:00|120.5|30.0|12.5
1005|2026-01-02T11:42:00|104.1|25.8|10.7
1006|2026-01-02T15:18:00|89.9|20.9|8.9
1007|2026-01-03T08:27:00|111.6|27.2|11.3
1008|2026-01-03T14:20:00|95.0|22.0|10.0
1009|2026-01-03T17:05:00|136.8|33.6|13.5
1010|2026-01-04T07:55:00|87.4|19.8|8.7
1011|2026-01-04T10:44:00|124.9|31.3|12.6
1012|2026-01-04T16:11:00|149.5|38.7|15.4
1013|2026-01-05T09:08:00|101.2|24.6|10.1
1014|2026-01-05T11:00:00|140.0|35.5|14.0
1015|2026-01-05T14:36:00|92.5|21.7|9.3
1016|2026-01-05T18:02:00|158.0|41.5|17.2
1017|2026-01-06T08:40:00|115.7|28.4|11.6
1018|2026-01-06T12:21:00|99.3|23.0|9.8
1019|2026-01-06T16:47:00|131.4|32.5|13.2
1020|2026-01-07T09:14:00|107.8|26.3|10.9
1021|2026-01-07T13:29:00|123.6|30.6|12.2
1022|2026-01-07T16:45:00|110.0|28.0|11.5
1023|2026-01-08T08:03:00|94.8|22.1|9.2
1024|2026-01-08T10:57:00|146.2|36.4|14.9
1025|2026-01-08T14:39:00|113.1|27.9|11.0
1026|2026-01-08T17:26:00|84.6|18.7|8.3
1027|2026-01-09T09:32:00|127.4|31.0|12.9
1028|2026-01-09T12:48:00|98.9|22.8|9.9
1029|2026-01-09T15:55:00|138.7|34.1|13.8
1030|2026-01-10T08:30:00|88.0|20.0|9.0
1031|2026-01-10T11:19:00|116.5|28.8|11.7
1032|2026-01-10T16:02:00|152.9|39.4|16.1
1033|2026-01-11T07:49:00|105.4|25.3|10.5
1034|2026-01-11T10:25:00|121.7|29.7|12.0
1035|2026-01-11T13:44:00|93.6|21.6|9.4
1036|2026-01-11T17:18:00|144.8|35.8|14.6
1037|2026-01-12T08:11:00|109.2|26.8|10.8
1038|2026-01-12T13:10:00|150.0|40.0|16.0
1039|2026-01-12T15:41:00|97.5|22.9|9.7
1040|2026-01-13T09:06:00|132.1|32.2|13.1
1041|2026-01-13T11:58:00|86.3|19.5|8.6
1042|2026-01-13T14:23:00|118.9|29.0|11.9
1043|2026-01-13T18:05:00|141.6|35.0|14.1
1044|2026-01-14T08:34:00|100.7|24.1|10.0
1045|2026-01-14T12:12:00|125.5|30.8|12.4
1046|2026-01-14T16:38:00|90.8|21.1|9.1
1047|2026-01-15T07:57:00|147.0|36.9|15.0
1048|2026-01-15T10:05:00|102.0|24.5|10.5
1049|2026-01-15T13:46:00|114.2|27.5|11.2
1050|2026-01-15T17:09:00|159.8|42.3|17.9
1051|2026-01-16T09:17:00|91.4|20.7|9.0
1052|2026-01-16T11:36:00|122.8|30.1|12.0
1053|2026-01-16T15:52:00|134.5|33.1|13.4
1054|2026-01-17T08:22:00|106.9|25.9|10.6
1055|2026-01-17T10:49:00|143.7|35.3|14.3
1056|2026-01-17T14:07:00|96.1|22.4|9.6
1057|2026-01-17T17:31:00|117.3|28.7|11.8
1058|2026-01-18T09:03:00|128.6|31.7|12.8
1059|2026-01-18T12:15:00|89.7|20.6|8.8
1060|2026-01-18T15:40:00|130.0|32.0|13.0
1061|2026-01-19T08:09:00|95.8|21.9|9.5
1062|2026-01-19T11:27:00|119.4|29.5|11.9
1063|2026-01-19T16:14:00|154.6|40.1|16.5
1064|2026-01-20T07:51:00|108.3|26.4|10.9
1065|2026-01-20T10:42:00|137.9|34.2|13.7
1066|2026-01-20T13:57:00|92.1|21.2|9.2
1067|2026-01-20T17:20:00|124.0|30.4|12.1
1068|2026-01-21T08:18:00|103.6|24.8|10.3
1069|2026-01-21T12:00:00|98.5|21.5|9.5
1070|2026-01-21T15:33:00|145.1|36.0|14.8
1071|2026-01-22T09:26:00|87.9|19.9|8.9
1072|2026-01-22T11:51:00|121.0|29.9|12.0
1073|2026-01-22T14:48:00|133.2|32.8|13.1
1074|2026-01-22T18:12:00|156.4|41.0|16.9
1075|2026-01-23T08:05:00|94.2|21.8|9.3
1076|2026-01-23T10:31:00|116.8|28.2|11.4
1077|2026-01-23T13:59:00|140.9|35.2|14.2
1078|2026-01-23T16:45:00|101.5|24.4|10.2
1079|2026-01-24T09:11:00|129.8|31.6|12.9
1080|2026-01-24T12:38:00|90.3|20.8|9.0
1081|2026-01-24T15:56:00|112.7|27.4|11.0
1082|2026-01-25T08:44:00|97.2|22.3|9.7
1083|2026-01-25T11:20:00|138.4|34.4|13.8
1084|2026-01-25T14:57:00|120.6|29.6|12.1
1085|2026-01-25T17:25:00|160.0|42.0|18.0
1086|2026-01-26T07:58:00|104.8|25.2|10.4
1087|2026-01-26T10:46:00|126.3|30.9|12.5
1088|2026-01-26T13:41:00|88.7|20.4|8.8
1089|2026-01-26T16:59:00|149.2|38.9|15.7
1090|2026-01-27T08:24:00|110.5|27.0|11.0
1091|2026-01-27T11:13:00|135.7|33.8|13.6
1092|2026-01-27T15:28:00|93.1|21.3|9.1
1093|2026-01-28T09:07:00|118.0|28.9|11.7
1094|2026-01-28T12:26:00|142.6|35.7|14.4
1095|2026-01-28T16:08:00|99.6|23.1|9.9
1096|2026-01-28T18:21:00|123.4|30.2|12.2
1097|2026-01-29T08:16:00|86.8|19.6|8.7
1098|2026-01-29T10:53:00|131.0|32.4|13.0
1099|2026-01-29T14:10:00|115.1|27.8|11.3
1100|2026-01-29T17:43:00|151.8|39.8|16.0
1101|2026-01-30T07:47:00|95.4|22.0|9.4
1102|2026-01-30T11:05:00|124.7|30.5|12.3
1103|2026-01-30T13:52:00|139.3|34.7|13.9
1104|2026-01-30T16:37:00|107.1|26.0|10.7
1105|2026-01-31T08:29:00|92.9|21.0|9.1
1106|2026-01-31T10:58:00|119.8|29.2|11.8
1107|2026-01-31T14:24:00|145.9|36.6|14.9
1108|2026-01-31T17:16:00|111.3|27.1|11.1
